measurement,time,valuie
light,2025-04-24T07:33:54.314357Z,24.42
light,2025-04-24T07:38:54.249837Z,29.95
light,2025-04-24T07:43:54.277751Z,28.11
light,2025-04-24T07:48:54.308145Z,29.49
light,2025-04-24T07:53:54.235167Z,37.32
light,2025-04-24T07:58:54.269759Z,44.24
light,2025-04-24T08:03:54.303615Z,61.29
light,2025-04-24T08:08:54.233702Z,70.5
light,2025-04-24T08:13:54.265998Z,85.25
light,2025-04-24T08:18:54.292438Z,64.51
light,2025-04-24T08:23:54.320367Z,75.11
light,2025-04-24T08:28:54.251340Z,67.28
light,2025-04-24T08:33:54.279803Z,55.76
light,2025-04-24T08:38:54.310661Z,77.88
light,2025-04-24T08:43:54.240117Z,77.41
light,2025-04-24T08:48:54.272322Z,62.21
light,2025-04-24T08:53:54.303858Z,111.51
light,2025-04-24T08:58:54.234063Z,130.41
light,2025-04-24T09:03:54.265958Z,118.89
light,2025-04-24T09:08:54.297342Z,106.44
light,2025-04-24T09:13:54.227584Z,184.32
light,2025-04-24T09:18:54.264901Z,151.6
light,2025-04-24T09:23:54.291481Z,143.31
light,2025-04-24T09:28:54.323521Z,124.42
light,2025-04-24T09:33:54.254273Z,131.79
light,2025-04-24T09:38:54.285006Z,138.24
light,2025-04-24T09:43:54.318859Z,117.04
light,2025-04-24T09:48:54.244182Z,123.49
light,2025-04-24T09:53:54.279495Z,136.86
light,2025-04-24T09:58:54.338986Z,102.3
light,2025-04-24T10:03:54.298412Z,103.68
light,2025-04-24T10:08:54.349626Z,106.44
light,2025-04-24T10:13:54.397733Z,98.61
light,2025-04-24T10:18:54.336731Z,142.39
light,2025-04-24T10:23:54.376985Z,125.8
light,2025-04-24T10:28:54.417124Z,118.43
light,2025-04-24T10:33:54.348811Z,229.94
light,2025-04-24T10:38:54.383794Z,264.5
light,2025-04-24T10:43:54.419539Z,264.5
light,2025-04-24T10:48:54.354147Z,261.27
light,2025-04-24T10:53:54.391212Z,208.28
light,2025-04-24T10:58:54.429507Z,183.4
light,2025-04-24T11:03:54.363881Z,159.44
light,2025-04-24T11:08:54.401599Z,211.05
light,2025-04-24T11:13:54.381995Z,197.22
light,2025-04-24T11:18:54.351453Z,166.81
light,2025-04-24T11:23:54.353339Z,183.4
light,2025-04-24T11:28:54.356439Z,106.91
light,2025-04-24T11:33:54.357073Z,154.37
light,2025-04-24T11:38:54.358338Z,67.28
light,2025-04-24T11:43:54.361220Z,66.82
light,2025-04-24T11:48:54.373271Z,54.37
light,2025-04-24T11:53:54.346832Z,55.3
light,2025-04-24T11:58:54.335733Z,54.37
light,2025-04-24T12:03:54.335583Z,55.76
light,2025-04-24T12:08:54.327379Z,55.76
light,2025-04-24T12:13:54.325678Z,48.84
light,2025-04-24T12:18:54.324215Z,43.78
light,2025-04-24T12:23:54.320077Z,48.84
light,2025-04-24T12:28:54.316784Z,42.39
light,2025-04-24T12:33:54.309015Z,39.63
light,2025-04-24T12:38:54.318627Z,49.77
light,2025-04-24T12:43:54.308885Z,49.77
light,2025-04-24T12:48:54.311282Z,48.38
light,2025-04-24T12:53:54.309491Z,131.33
light,2025-04-24T12:58:54.395707Z,124.42
light,2025-04-24T13:03:54.316565Z,119.35
light,2025-04-24T13:08:54.343059Z,132.71
light,2025-04-24T13:13:54.374385Z,121.19
light,2025-04-24T13:18:54.298866Z,115.66
light,2025-04-24T13:23:54.330404Z,112.44
light,2025-04-24T13:28:54.360308Z,114.28
light,2025-04-24T13:33:54.317929Z,112.9
light,2025-04-24T13:38:54.371866Z,114.74
light,2025-04-24T13:43:54.416497Z,116.12
light,2025-04-24T13:48:54.354211Z,111.51
light,2025-04-24T13:53:54.393024Z,112.9
light,2025-04-24T13:58:54.429447Z,110.59
light,2025-04-24T14:03:54.361679Z,105.98
light,2025-04-24T14:08:54.386265Z,105.06
light,2025-04-24T14:13:54.414496Z,96.31
light,2025-04-24T14:18:54.446550Z,94.0
light,2025-04-24T14:23:54.376183Z,95.39
light,2025-04-24T14:28:54.409982Z,93.54
light,2025-04-24T14:33:54.442986Z,91.7
light,2025-04-24T14:38:54.379097Z,92.16
light,2025-04-24T14:43:54.428424Z,92.62
light,2025-04-24T14:48:54.471643Z,91.7
light,2025-04-24T14:53:54.409317Z,91.24
light,2025-04-24T14:58:54.447215Z,92.16
light,2025-04-24T15:03:54.484846Z,92.62
light,2025-04-24T15:08:54.419488Z,89.4
light,2025-04-24T15:13:54.456188Z,90.78
light,2025-04-24T15:18:54.492922Z,91.24
light,2025-04-24T15:23:54.426891Z,90.32
light,2025-04-24T15:28:54.462916Z,90.78
light,2025-04-24T15:33:54.499519Z,89.86
light,2025-04-24T15:38:54.432060Z,85.71
light,2025-04-24T15:43:54.469369Z,86.17
light,2025-04-24T15:48:54.505217Z,83.87
light,2025-04-24T15:53:54.438496Z,81.1
light,2025-04-24T15:58:54.458409Z,82.02
light,2025-04-24T16:03:54.482900Z,83.4
light,2025-04-24T16:08:54.408545Z,84.79
light,2025-04-24T16:13:54.439455Z,83.4
light,2025-04-24T16:18:54.471050Z,82.94
light,2025-04-24T16:23:54.400396Z,81.56
light,2025-04-24T16:28:54.433768Z,82.02
light,2025-04-24T16:33:54.463830Z,83.4
light,2025-04-24T16:38:54.392646Z,82.02
light,2025-04-24T16:43:54.424740Z,81.1
light,2025-04-24T16:48:54.457138Z,81.56
light,2025-04-24T16:53:54.489534Z,79.72
light,2025-04-24T16:58:54.420501Z,78.8
light,2025-04-24T17:03:54.452589Z,78.34
light,2025-04-24T17:08:54.485237Z,80.18
light,2025-04-24T17:13:54.415125Z,77.41
light,2025-04-24T17:18:54.447366Z,76.95
light,2025-04-24T17:23:54.480421Z,76.95
light,2025-04-24T17:28:54.410242Z,75.57
light,2025-04-24T17:33:54.443170Z,75.11
light,2025-04-24T17:38:54.481830Z,74.65
light,2025-04-24T17:43:54.523602Z,74.65
light,2025-04-24T17:48:54.460278Z,74.19
light,2025-04-24T17:53:54.497305Z,74.19
light,2025-04-24T17:58:54.533246Z,73.73
light,2025-04-24T18:03:54.457126Z,73.73
light,2025-04-24T18:08:54.454287Z,73.73
light,2025-04-24T18:13:54.455749Z,73.73
light,2025-04-24T18:18:54.462215Z,73.73
light,2025-04-24T18:23:54.460041Z,73.73
light,2025-04-24T18:28:54.471805Z,73.73
light,2025-04-24T18:33:54.497611Z,73.73
light,2025-04-24T18:38:54.475183Z,73.27
light,2025-04-24T18:43:54.485572Z,73.27
light,2025-04-24T18:48:54.493712Z,73.27
light,2025-04-24T18:53:54.508673Z,73.27
light,2025-04-24T18:58:54.514001Z,73.27
light,2025-04-24T19:03:54.514471Z,73.27
light,2025-04-24T19:08:54.525165Z,73.27
light,2025-04-24T19:13:54.563674Z,73.73
light,2025-04-24T19:18:54.599219Z,73.73
light,2025-04-24T19:23:54.532837Z,73.73
light,2025-04-24T19:28:54.568562Z,73.73
light,2025-04-24T19:33:54.604732Z,73.73
light,2025-04-24T19:38:54.538178Z,73.27
light,2025-04-24T19:43:54.574089Z,73.27
light,2025-04-24T19:48:54.610678Z,73.27
light,2025-04-24T19:53:54.646216Z,73.27
light,2025-04-24T19:58:54.579181Z,73.27
light,2025-04-24T20:03:54.614854Z,73.27
