Column1;hour;light;temperature;soil_capacitance;delta_soil;was_watered;hours_since_last_watering;drying_too_fast;forgot_to_water;insufficient_watering;hour_of_day;is_day;rolling_avg_light_6h;rolling_avg_temp_6h;is_light_ok;light_hours_today;timestamp;date;soil_capacitance_in_6h;soil_capacitance_in_12h;needs_watering_now;needs_watering_in_6h;needs_watering_in_12h;too_dark_today;too_bright_now;dark_trend;worth_relocating;ok
470;5/19/2025 14:00;38.71;23.69;54.01;-0.21999999999999886;0;5;0;0;0;14;1;37.94;23.66;0;0;2025-05-19 14:00:00;19.05.2025;53.34;51.22;0;0;0;1;0;4.0;1;0
471;5/19/2025 15:00;39.09;23.75;54.16;0.14999999999999858;0;6;0;0;0;15;1;38.39;23.71;0;0;2025-05-19 15:00:00;19.05.2025;53.5;50.83;0;0;0;1;0;4.0;1;0
472;5/19/2025 16:00;53.99;23.89;53.73;-0.4299999999999997;0;7;0;0;0;16;1;41.07;23.75;0;0;2025-05-19 16:00:00;19.05.2025;53.43;50.36;0;0;0;1;0;4.0;1;0
473;5/19/2025 17:00;16.32;23.96;53.59;-0.13999999999999346;0;8;0;0;0;17;1;38.71;23.79;0;0;2025-05-19 17:00:00;19.05.2025;53.61;50.26;0;0;0;1;0;4.0;1;0
474;5/19/2025 18:00;2.53;23.99;53.54;-0.05000000000000426;0;9;0;0;0;18;1;33.45;23.83;0;0;2025-05-19 18:00:00;19.05.2025;53.01;49.68;0;0;0;1;0;4.0;1;0
475;5/19/2025 19:00;75.61;24.05;53.54;0.0;1;0;0;0;1;19;0;37.71;23.89;0;0;2025-05-19 19:00:00;19.05.2025;52.62;49.0;0;0;0;1;0;4.0;1;0
476;5/19/2025 20:00;98.15;24.09;53.34;-0.19999999999999574;0;11;0;0;0;20;0;47.62;23.95;0;0;2025-05-19 20:00:00;19.05.2025;51.22;49.03;0;0;0;1;0;4.0;1;0
477;5/19/2025 21:00;73.65;23.93;53.5;0.1599999999999966;0;12;0;0;0;21;0;53.38;23.98;0;0;2025-05-19 21:00:00;19.05.2025;50.83;49.0;0;0;0;1;0;4.0;1;0
478;5/19/2025 22:00;0.0;23.82;53.43;-0.07000000000000028;0;13;0;0;0;22;0;44.38;23.97;0;0;2025-05-19 22:00:00;19.05.2025;50.36;49.2;0;0;0;1;0;4.0;1;0
479;5/19/2025 23:00;0.0;23.72;53.61;0.17999999999999972;0;14;0;0;0;23;0;41.66;23.93;0;0;2025-05-19 23:00:00;19.05.2025;50.26;48.87;0;0;0;1;0;4.0;1;0
480;5/20/2025 0:00;0.0;23.63;53.01;-0.6000000000000014;0;15;0;0;0;0;0;41.23;23.87;0;8;2025-05-20 00:00:00;20.05.2025;49.68;49.21;0;0;0;1;0;4.0;1;0
481;5/20/2025 1:00;0.0;23.53;52.62;-0.39000000000000057;0;16;0;0;0;1;0;28.63;23.79;0;8;2025-05-20 01:00:00;20.05.2025;49.0;48.86;0;0;0;1;0;4.0;1;0
482;5/20/2025 2:00;3.3;23.45;51.22;-1.3999999999999986;0;17;0;0;0;2;0;12.83;23.68;0;8;2025-05-20 02:00:00;20.05.2025;49.03;48.65;0;0;0;1;0;4.0;1;0
483;5/20/2025 3:00;29.8;23.4;50.83;-0.39000000000000057;0;18;0;0;0;3;0;5.52;23.59;0;8;2025-05-20 03:00:00;20.05.2025;49.0;48.83;0;0;0;1;0;4.0;1;0
484;5/20/2025 4:00;68.08;23.39;50.36;-0.46999999999999886;0;19;0;0;0;4;0;16.86;23.52;0;8;2025-05-20 04:00:00;20.05.2025;49.2;48.67;0;0;0;1;0;4.0;1;0
485;5/20/2025 5:00;106.52;23.44;50.26;-0.10000000000000142;0;20;0;0;0;5;0;34.62;23.47;0;8;2025-05-20 05:00:00;20.05.2025;48.87;48.83;0;0;0;1;0;4.0;1;0
486;5/20/2025 6:00;125.61;23.53;49.68;-0.5799999999999983;0;21;0;0;0;6;1;55.55;23.46;1;8;2025-05-20 06:00:00;20.05.2025;49.21;48.82;0;0;0;1;0;4.0;1;0
487;5/20/2025 7:00;146.3;23.65;49.0;-0.6799999999999997;0;22;0;0;0;7;1;79.94;23.48;1;8;2025-05-20 07:00:00;20.05.2025;48.86;48.65;0;0;0;1;0;4.0;1;0
488;5/20/2025 8:00;159.82;23.92;49.03;0.030000000000001137;0;23;0;0;0;8;1;106.02;23.56;1;8;2025-05-20 08:00:00;20.05.2025;48.65;48.81;0;0;0;1;0;4.0;1;0
489;5/20/2025 9:00;171.26;24.22;49.0;-0.030000000000001137;0;24;0;0;0;9;1;129.6;23.69;1;8;2025-05-20 09:00:00;20.05.2025;48.83;48.75;0;0;0;0;0;4.0;1;0
490;5/20/2025 10:00;196.88;24.35;49.2;0.20000000000000284;0;25;0;0;0;10;1;151.07;23.85;1;8;2025-05-20 10:00:00;20.05.2025;48.67;49.03;0;0;0;0;0;4.0;1;0
491;5/20/2025 11:00;194.0;24.38;48.87;-0.3300000000000054;0;26;0;0;0;11;1;165.64;24.01;1;8;2025-05-20 11:00:00;20.05.2025;48.83;48.89;0;0;0;0;0;4.0;1;0
492;5/20/2025 12:00;162.05;24.43;49.21;0.3400000000000034;0;27;0;0;0;12;1;171.72;24.16;1;8;2025-05-20 12:00:00;20.05.2025;48.82;48.92;0;0;0;0;0;4.0;1;0
493;5/20/2025 13:00;131.21;24.43;48.86;-0.3500000000000014;0;28;0;0;0;13;1;169.2;24.29;1;8;2025-05-20 13:00:00;20.05.2025;48.65;48.95;0;0;0;0;0;4.0;1;0
494;5/20/2025 14:00;65.74;24.44;48.65;-0.21000000000000085;0;29;0;0;0;14;1;153.52;24.38;0;8;2025-05-20 14:00:00;20.05.2025;48.81;48.6;0;0;0;0;0;4.0;1;0
495;5/20/2025 15:00;46.43;24.39;48.83;0.17999999999999972;0;30;0;0;0;15;1;132.72;24.4;0;8;2025-05-20 15:00:00;20.05.2025;48.75;48.9;0;0;0;0;0;4.0;1;0
496;5/20/2025 16:00;38.21;24.22;48.67;-0.1599999999999966;0;31;0;0;0;16;1;106.27;24.38;0;8;2025-05-20 16:00:00;20.05.2025;49.03;48.41;0;0;0;1;0;4.0;1;0
497;5/20/2025 17:00;25.5;24.03;48.83;0.1599999999999966;0;32;0;0;0;17;1;78.19;24.32;0;8;2025-05-20 17:00:00;20.05.2025;48.89;48.77;0;0;0;1;0;4.0;1;0
498;5/20/2025 18:00;7.53;23.86;48.82;-0.00999999999999801;0;33;0;0;0;18;1;52.43;24.23;0;8;2025-05-20 18:00:00;20.05.2025;48.92;48.77;0;0;0;1;0;4.0;1;0
499;5/20/2025 19:00;29.91;23.69;48.65;-0.1700000000000017;0;34;0;0;0;19;0;35.55;24.1;0;8;2025-05-20 19:00:00;20.05.2025;48.95;48.64;0;0;0;1;0;4.0;1;0
500;5/20/2025 20:00;105.45;23.65;48.81;0.1600000000000037;0;35;0;0;0;20;0;42.17;23.97;0;8;2025-05-20 20:00:00;20.05.2025;48.6;48.82;0;0;0;1;0;4.0;1;0
501;5/20/2025 21:00;57.45;23.81;48.75;-0.060000000000002274;0;36;0;0;0;21;0;44.01;23.88;0;8;2025-05-20 21:00:00;20.05.2025;48.9;48.9;0;0;0;1;0;4.0;1;0
502;5/20/2025 22:00;0.0;23.85;49.03;0.28000000000000114;0;37;0;0;0;22;0;37.64;23.81;0;8;2025-05-20 22:00:00;20.05.2025;48.41;48.08;0;0;0;1;0;4.0;1;0
503;5/20/2025 23:00;0.0;23.82;48.89;-0.14000000000000057;0;38;0;0;0;23;0;33.39;23.78;0;8;2025-05-20 23:00:00;20.05.2025;48.77;48.03;0;0;0;1;0;4.0;1;0
504;5/21/2025 0:00;0.0;23.78;48.92;0.030000000000001137;0;39;0;0;0;0;0;32.13;23.77;0;6;2025-05-21 00:00:00;21.05.2025;48.77;48.29;0;0;0;1;0;4.0;1;0
505;5/21/2025 1:00;0.0;23.69;48.95;0.030000000000001137;0;40;0;0;0;1;0;27.15;23.77;0;6;2025-05-21 01:00:00;21.05.2025;48.64;48.07;0;0;0;1;0;4.0;1;0
506;5/21/2025 2:00;2.53;23.63;48.6;-0.3500000000000014;0;41;0;0;0;2;0;10.0;23.76;0;6;2025-05-21 02:00:00;21.05.2025;48.82;48.15;0;0;0;1;0;4.0;1;0
507;5/21/2025 3:00;20.58;23.57;48.9;0.29999999999999716;0;42;0;0;0;3;0;3.85;23.72;0;6;2025-05-21 03:00:00;21.05.2025;48.9;48.32;0;0;0;1;0;4.0;1;0
508;5/21/2025 4:00;49.0;23.54;48.41;-0.490000000000002;0;43;0;0;0;4;0;12.02;23.67;0;6;2025-05-21 04:00:00;21.05.2025;48.08;48.03;0;0;0;1;0;4.0;1;0
509;5/21/2025 5:00;80.76;23.57;48.77;0.36000000000000654;0;44;0;0;0;5;0;25.48;23.63;0;6;2025-05-21 05:00:00;21.05.2025;48.03;47.98;0;0;0;1;0;4.0;1;0
510;5/21/2025 6:00;100.68;23.64;48.77;0.0;0;45;1;0;0;6;1;42.26;23.61;1;6;2025-05-21 06:00:00;21.05.2025;48.29;48.04;0;0;0;1;0;4.0;1;0
511;5/21/2025 7:00;119.65;23.76;48.64;-0.13000000000000256;0;46;0;0;0;7;1;62.2;23.62;1;6;2025-05-21 07:00:00;21.05.2025;48.07;48.18;0;0;0;1;0;4.0;1;0
512;5/21/2025 8:00;131.79;24.01;48.82;0.17999999999999972;0;47;0;0;0;8;1;83.74;23.68;1;6;2025-05-21 08:00:00;21.05.2025;48.15;47.71;0;0;0;1;0;4.0;1;0
513;5/21/2025 9:00;145.65;24.05;48.9;0.0799999999999983;0;48;0;0;0;9;1;104.59;23.76;1;6;2025-05-21 09:00:00;21.05.2025;48.32;48.0;0;0;0;1;0;4.0;1;0
514;5/21/2025 10:00;134.21;24.03;48.08;-0.8200000000000003;0;49;0;0;0;10;1;118.79;23.84;1;6;2025-05-21 10:00:00;21.05.2025;48.03;48.04;0;0;0;1;0;4.0;1;0
515;5/21/2025 11:00;128.1;24.22;48.03;-0.04999999999999716;0;50;0;0;0;11;1;126.68;23.95;1;6;2025-05-21 11:00:00;21.05.2025;47.98;47.87;0;0;0;0;0;4.0;1;0
516;5/21/2025 12:00;93.85;24.25;48.29;0.259999999999998;0;51;0;0;0;12;1;125.54;24.05;0;6;2025-05-21 12:00:00;21.05.2025;48.04;47.71;0;0;0;0;0;4.0;1;0
517;5/21/2025 13:00;77.3;24.17;48.07;-0.21999999999999886;0;52;0;0;0;13;1;118.48;24.12;0;6;2025-05-21 13:00:00;21.05.2025;48.18;47.73;0;0;0;1;0;4.0;1;0
518;5/21/2025 14:00;73.88;24.04;48.15;0.0799999999999983;0;53;0;0;0;14;1;108.83;24.13;0;6;2025-05-21 14:00:00;21.05.2025;47.71;48.05;0;0;0;1;0;4.0;1;0
519;5/21/2025 15:00;53.03;23.93;48.32;0.1700000000000017;0;54;0;0;0;15;1;93.4;24.11;0;6;2025-05-21 15:00:00;21.05.2025;48.0;47.83;0;0;0;1;0;4.0;1;0
520;5/21/2025 16:00;38.36;23.8;48.03;-0.28999999999999915;0;55;0;0;0;16;1;77.42;24.07;0;6;2025-05-21 16:00:00;21.05.2025;48.04;48.0;0;0;0;1;0;4.0;1;0
521;5/21/2025 17:00;23.08;23.66;47.98;-0.05000000000000426;0;56;0;0;0;17;1;59.92;23.98;0;6;2025-05-21 17:00:00;21.05.2025;47.87;47.76;0;0;0;1;0;4.0;1;0
522;5/21/2025 18:00;6.83;23.5;48.04;0.060000000000002274;0;57;0;0;0;18;1;45.41;23.85;0;6;2025-05-21 18:00:00;21.05.2025;47.71;48.26;0;0;0;1;0;4.0;1;0
523;5/21/2025 19:00;9.37;23.34;48.18;0.14000000000000057;0;58;0;0;0;19;0;34.09;23.71;0;6;2025-05-21 19:00:00;21.05.2025;47.73;47.91;0;0;0;1;0;4.0;1;0
524;5/21/2025 20:00;99.26;23.31;47.71;-0.46999999999999886;0;59;0;0;0;20;0;38.32;23.59;0;6;2025-05-21 20:00:00;21.05.2025;48.05;48.03;0;0;0;1;0;4.0;1;0
525;5/21/2025 21:00;8.18;23.51;48.0;0.28999999999999915;0;60;0;0;0;21;0;30.85;23.52;0;6;2025-05-21 21:00:00;21.05.2025;47.83;48.11;0;0;0;1;0;4.0;1;0
526;5/21/2025 22:00;0.0;23.55;48.04;0.03999999999999915;0;61;0;0;0;22;0;24.45;23.48;0;6;2025-05-21 22:00:00;21.05.2025;48.0;48.03;0;0;0;1;0;4.0;1;0
527;5/21/2025 23:00;0.0;23.53;47.87;-0.1700000000000017;0;62;0;0;0;23;0;20.61;23.46;0;6;2025-05-21 23:00:00;21.05.2025;47.76;47.95;0;0;0;1;0;4.0;1;0
528;5/22/2025 0:00;0.0;23.49;47.71;-0.1599999999999966;0;63;0;0;0;0;0;19.47;23.46;0;5;2025-05-22 00:00:00;22.05.2025;48.26;47.92;0;0;0;1;0;4.0;1;0
529;5/22/2025 1:00;0.0;23.44;47.73;0.01999999999999602;0;64;0;0;0;1;0;17.91;23.47;0;5;2025-05-22 01:00:00;22.05.2025;47.91;47.85;0;0;0;1;0;4.0;1;0
530;5/22/2025 2:00;2.0;23.39;48.05;0.3200000000000003;0;65;0;0;0;2;0;1.7;23.49;0;5;2025-05-22 02:00:00;22.05.2025;48.03;48.01;0;0;0;1;0;4.0;1;0
531;5/22/2025 3:00;11.41;23.36;47.83;-0.21999999999999886;0;66;0;0;0;3;0;2.23;23.46;0;5;2025-05-22 03:00:00;22.05.2025;48.11;47.79;0;0;0;1;0;4.0;1;0
532;5/22/2025 4:00;33.41;23.34;48.0;0.1700000000000017;0;67;0;0;0;4;0;7.8;23.43;0;5;2025-05-22 04:00:00;22.05.2025;48.03;48.26;0;0;0;1;0;4.0;1;0
533;5/22/2025 5:00;54.84;23.37;47.76;-0.240000000000002;0;68;0;0;0;5;0;16.94;23.4;0;5;2025-05-22 05:00:00;22.05.2025;47.95;47.66;0;0;0;1;0;4.0;1;0
534;5/22/2025 6:00;76.34;23.43;48.26;0.5;0;69;0;0;0;6;1;29.66;23.39;0;5;2025-05-22 06:00:00;22.05.2025;47.92;47.93;0;0;0;1;0;4.0;1;0
535;5/22/2025 7:00;87.48;23.52;47.91;-0.3500000000000014;0;70;0;0;0;7;1;44.24;23.4;0;5;2025-05-22 07:00:00;22.05.2025;47.85;47.77;0;0;0;1;0;4.0;1;0
536;5/22/2025 8:00;105.18;23.72;48.03;0.12000000000000455;0;71;0;0;0;8;1;61.44;23.46;1;5;2025-05-22 08:00:00;22.05.2025;48.01;47.87;0;0;0;1;0;4.0;1;0
537;5/22/2025 9:00;156.4;23.85;48.11;0.0799999999999983;0;72;0;1;0;9;1;85.61;23.54;1;5;2025-05-22 09:00:00;22.05.2025;47.79;48.13;0;0;0;1;0;4.0;1;0
538;5/22/2025 10:00;181.94;23.93;48.03;-0.0799999999999983;0;73;0;1;0;10;1;110.36;23.64;1;5;2025-05-22 10:00:00;22.05.2025;48.26;47.85;0;0;0;1;0;4.0;1;0
539;5/22/2025 11:00;150.68;23.9;47.95;-0.0799999999999983;0;74;0;1;0;11;1;126.34;23.72;1;5;2025-05-22 11:00:00;22.05.2025;47.66;47.65;0;0;0;0;0;4.0;1;0
540;5/22/2025 12:00;118.0;23.86;47.92;-0.030000000000001137;0;75;0;1;0;12;1;133.28;23.8;1;5;2025-05-22 12:00:00;22.05.2025;47.93;47.57;0;0;0;0;0;4.0;1;0
541;5/22/2025 13:00;85.56;23.84;47.85;-0.07000000000000028;0;76;0;1;0;13;1;132.96;23.85;0;5;2025-05-22 13:00:00;22.05.2025;47.77;47.74;0;0;0;0;0;4.0;1;0
542;5/22/2025 14:00;44.24;23.71;48.01;0.1599999999999966;0;77;0;1;0;14;1;122.8;23.85;0;5;2025-05-22 14:00:00;22.05.2025;47.87;47.54;0;0;0;0;0;4.0;1;0
543;5/22/2025 15:00;46.39;23.64;47.79;-0.21999999999999886;0;78;0;1;0;15;1;104.47;23.81;0;5;2025-05-22 15:00:00;22.05.2025;48.13;47.62;0;0;0;1;0;4.0;1;0
544;5/22/2025 16:00;43.74;23.65;48.26;0.46999999999999886;0;79;0;1;0;16;1;81.43;23.77;0;5;2025-05-22 16:00:00;22.05.2025;47.85;47.52;0;0;0;1;0;4.0;1;0
545;5/22/2025 17:00;25.92;23.66;47.66;-0.6000000000000014;0;80;0;1;0;17;1;60.64;23.73;0;5;2025-05-22 17:00:00;22.05.2025;47.65;47.63;0;0;0;1;0;4.0;1;0
546;5/22/2025 18:00;6.68;23.63;47.93;0.2700000000000031;0;81;0;1;0;18;1;42.09;23.69;0;5;2025-05-22 18:00:00;22.05.2025;47.57;47.91;0;0;0;1;0;4.0;1;0
547;5/22/2025 19:00;0.19;23.61;47.77;-0.1599999999999966;0;82;0;1;0;19;0;27.86;23.65;0;5;2025-05-22 19:00:00;22.05.2025;47.74;47.79;0;0;0;1;0;4.0;1;0
548;5/22/2025 20:00;0.0;23.49;47.87;0.09999999999999432;0;83;0;1;0;20;0;20.49;23.61;0;5;2025-05-22 20:00:00;22.05.2025;47.54;48.06;0;0;0;1;0;4.0;1;0
549;5/22/2025 21:00;0.0;23.32;48.13;0.2600000000000051;0;84;0;1;0;21;0;12.76;23.56;0;5;2025-05-22 21:00:00;22.05.2025;47.62;47.32;0;0;0;1;0;4.0;1;0
550;5/22/2025 22:00;9.37;23.24;47.85;-0.28000000000000114;0;85;0;1;0;22;0;7.03;23.49;0;5;2025-05-22 22:00:00;22.05.2025;47.52;47.68;0;0;0;1;0;4.0;1;0
551;5/22/2025 23:00;0.0;23.14;47.65;-0.20000000000000284;0;86;0;1;0;23;0;2.71;23.41;0;5;2025-05-22 23:00:00;22.05.2025;47.63;47.56;0;0;0;1;0;4.0;1;0
552;5/23/2025 0:00;0.0;23.01;47.57;-0.0799999999999983;0;87;0;1;0;0;0;1.59;23.3;0;7;2025-05-23 00:00:00;23.05.2025;47.91;47.58;0;0;0;1;0;4.0;1;0
553;5/23/2025 1:00;0.0;22.9;47.74;0.1700000000000017;0;88;0;1;0;1;0;1.56;23.18;0;7;2025-05-23 01:00:00;23.05.2025;47.79;47.77;0;0;0;1;0;4.0;1;0
554;5/23/2025 2:00;3.19;22.81;47.54;-0.20000000000000284;0;89;0;1;0;2;0;2.09;23.07;0;7;2025-05-23 02:00:00;23.05.2025;48.06;47.82;0;0;0;1;0;4.0;1;0
555;5/23/2025 3:00;22.81;22.74;47.62;0.0799999999999983;0;90;0;1;0;3;0;5.89;22.97;0;7;2025-05-23 03:00:00;23.05.2025;47.32;47.32;0;0;0;1;0;4.0;1;0
556;5/23/2025 4:00;41.43;22.69;47.52;-0.09999999999999432;0;91;0;1;0;4;0;11.24;22.88;0;7;2025-05-23 04:00:00;23.05.2025;47.68;47.65;0;0;0;1;0;4.0;1;0
557;5/23/2025 5:00;74.5;22.71;47.63;0.10999999999999943;0;92;0;1;0;5;0;23.65;22.81;0;7;2025-05-23 05:00:00;23.05.2025;47.56;47.44;0;0;0;1;0;4.0;1;0
558;5/23/2025 6:00;101.99;22.79;47.91;0.27999999999999403;0;93;0;1;0;6;1;40.65;22.77;1;7;2025-05-23 06:00:00;23.05.2025;47.58;47.59;0;0;0;1;0;4.0;1;0
559;5/23/2025 7:00;135.48;22.92;47.79;-0.11999999999999744;0;94;0;1;0;7;1;63.23;22.78;1;7;2025-05-23 07:00:00;23.05.2025;47.77;47.32;0;0;0;1;0;4.0;1;0
560;5/23/2025 8:00;127.57;23.16;48.06;0.2700000000000031;0;95;0;1;0;8;1;83.96;22.84;1;7;2025-05-23 08:00:00;23.05.2025;47.82;47.54;0;0;0;1;0;4.0;1;0
561;5/23/2025 9:00;113.47;23.43;47.32;-0.740000000000002;0;96;0;1;0;9;1;99.07;22.95;1;7;2025-05-23 09:00:00;23.05.2025;47.32;47.77;0;0;0;1;0;4.0;1;0
562;5/23/2025 10:00;134.17;23.51;47.68;0.35999999999999943;0;97;0;1;0;10;1;114.53;23.09;1;7;2025-05-23 10:00:00;23.05.2025;47.65;47.64;0;0;0;1;0;4.0;1;0
563;5/23/2025 11:00;106.94;23.55;47.56;-0.11999999999999744;0;98;0;1;0;11;1;119.94;23.23;1;7;2025-05-23 11:00:00;23.05.2025;47.44;47.96;0;0;0;1;0;4.0;1;0
564;5/23/2025 12:00;114.2;23.55;47.58;0.01999999999999602;0;99;0;1;0;12;1;121.97;23.35;1;7;2025-05-23 12:00:00;23.05.2025;47.59;47.48;0;0;0;0;0;4.0;1;0
565;5/23/2025 13:00;85.67;23.51;47.77;0.19000000000000483;0;100;0;1;0;13;1;113.67;23.45;0;7;2025-05-23 13:00:00;23.05.2025;47.32;47.56;0;0;0;1;0;4.0;1;0
566;5/23/2025 14:00;72.65;23.48;47.82;0.04999999999999716;0;101;0;1;0;14;1;104.52;23.5;0;7;2025-05-23 14:00:00;23.05.2025;47.54;47.53;0;0;0;1;0;4.0;1;0
567;5/23/2025 15:00;52.45;23.43;47.32;-0.5;0;102;0;1;0;15;1;94.35;23.5;0;7;2025-05-23 15:00:00;23.05.2025;47.77;47.82;0;0;0;1;0;4.0;1;0
568;5/23/2025 16:00;33.45;23.36;47.65;0.3299999999999983;0;103;0;1;0;16;1;77.56;23.48;0;7;2025-05-23 16:00:00;23.05.2025;47.64;47.75;0;0;0;1;0;4.0;1;0
569;5/23/2025 17:00;23.42;23.39;47.44;-0.21000000000000085;0;104;0;1;0;17;1;63.64;23.45;0;7;2025-05-23 17:00:00;23.05.2025;47.96;47.74;0;0;0;1;0;4.0;1;0
570;5/23/2025 18:00;7.76;23.49;47.59;0.15000000000000568;0;105;0;1;0;18;1;45.9;23.44;0;7;2025-05-23 18:00:00;23.05.2025;47.48;47.7;0;0;0;1;0;4.0;1;0
571;5/23/2025 19:00;0.04;23.44;47.32;-0.2700000000000031;0;106;0;1;0;19;0;31.63;23.43;0;7;2025-05-23 19:00:00;23.05.2025;47.56;47.56;0;0;0;1;0;4.0;1;0
572;5/23/2025 20:00;0.0;23.35;47.54;0.21999999999999886;0;107;0;1;0;20;0;19.52;23.41;0;7;2025-05-23 20:00:00;23.05.2025;47.53;47.53;0;0;0;1;0;4.0;1;0
573;5/23/2025 21:00;0.54;23.27;47.77;0.23000000000000398;0;108;0;1;0;21;0;10.87;23.38;0;7;2025-05-23 21:00:00;23.05.2025;47.82;47.66;0;0;0;1;0;4.0;1;0
574;5/23/2025 22:00;75.84;23.2;47.64;-0.13000000000000256;0;109;0;1;0;22;0;17.93;23.36;0;7;2025-05-23 22:00:00;23.05.2025;47.75;47.66;0;0;0;1;0;4.0;1;0
575;5/23/2025 23:00;0.0;23.18;47.96;0.3200000000000003;0;110;0;1;0;23;0;14.03;23.32;0;7;2025-05-23 23:00:00;23.05.2025;47.74;47.56;0;0;0;1;0;4.0;1;0
576;5/24/2025 0:00;0.0;23.18;47.48;-0.480000000000004;0;111;0;1;0;0;0;12.74;23.27;0;7;2025-05-24 00:00:00;24.05.2025;47.7;47.39;0;0;0;1;0;4.0;1;0
577;5/24/2025 1:00;0.0;23.16;47.56;0.0800000000000054;0;112;0;1;0;1;0;12.73;23.23;0;7;2025-05-24 01:00:00;24.05.2025;47.56;47.39;0;0;0;1;0;4.0;1;0
578;5/24/2025 2:00;3.23;23.14;47.53;-0.030000000000001137;0;113;0;1;0;2;0;13.27;23.19;0;7;2025-05-24 02:00:00;24.05.2025;47.53;47.4;0;0;0;1;0;4.0;1;0
579;5/24/2025 3:00;22.81;23.11;47.82;0.28999999999999915;0;114;0;1;0;3;0;16.98;23.16;0;7;2025-05-24 03:00:00;24.05.2025;47.66;47.39;0;0;0;1;0;4.0;1;0
580;5/24/2025 4:00;52.22;23.12;47.75;-0.07000000000000028;0;115;0;1;0;4;0;13.04;23.15;0;7;2025-05-24 04:00:00;24.05.2025;47.66;47.38;0;0;0;1;0;4.0;1;0
581;5/24/2025 5:00;85.36;23.18;47.74;-0.00999999999999801;0;116;0;1;0;5;0;27.27;23.15;0;7;2025-05-24 05:00:00;24.05.2025;47.56;47.56;0;0;0;1;0;4.0;1;0
582;5/24/2025 6:00;101.45;23.28;47.7;-0.03999999999999915;0;117;0;1;0;6;1;44.18;23.17;1;7;2025-05-24 06:00:00;24.05.2025;47.39;48.07;0;0;0;1;0;4.0;1;0
583;5/24/2025 7:00;115.62;23.37;47.56;-0.14000000000000057;0;118;0;1;0;7;1;63.45;23.2;1;7;2025-05-24 07:00:00;24.05.2025;47.39;47.54;0;0;0;1;0;4.0;1;0
584;5/24/2025 8:00;146.27;23.47;47.53;-0.030000000000001137;0;119;0;1;0;8;1;87.29;23.26;1;7;2025-05-24 08:00:00;24.05.2025;47.4;47.8;0;0;0;1;0;4.0;1;0
585;5/24/2025 9:00;205.05;23.54;47.66;0.12999999999999545;0;120;0;1;0;9;1;117.66;23.33;1;7;2025-05-24 09:00:00;24.05.2025;47.39;47.79;0;0;0;1;0;4.0;1;0
586;5/24/2025 10:00;215.08;23.35;47.66;0.0;0;121;0;1;0;10;1;144.81;23.36;1;7;2025-05-24 10:00:00;24.05.2025;47.38;47.6;0;0;0;0;0;4.0;1;0
587;5/24/2025 11:00;107.6;23.4;47.56;-0.09999999999999432;0;122;0;1;0;11;1;148.51;23.4;1;7;2025-05-24 11:00:00;24.05.2025;47.56;47.69;0;0;0;0;0;4.0;1;0
588;5/24/2025 12:00;117.04;23.52;47.39;-0.1700000000000017;0;123;0;1;0;12;1;151.11;23.44;1;7;2025-05-24 12:00:00;24.05.2025;48.07;47.68;0;0;0;0;0;4.0;1;0
589;5/24/2025 13:00;86.36;23.57;47.39;0.0;0;124;0;1;0;13;1;146.23;23.47;0;7;2025-05-24 13:00:00;24.05.2025;47.54;47.77;0;0;0;0;0;4.0;1;0
590;5/24/2025 14:00;76.76;23.71;47.4;0.00999999999999801;0;125;0;1;0;14;1;134.65;23.51;0;7;2025-05-24 14:00:00;24.05.2025;47.8;47.46;0;0;0;0;0;4.0;1;0
591;5/24/2025 15:00;70.46;23.62;47.39;-0.00999999999999801;0;126;0;1;0;15;1;112.22;23.53;0;7;2025-05-24 15:00:00;24.05.2025;47.79;47.75;0;0;0;1;0;4.0;1;0
592;5/24/2025 16:00;69.89;23.36;47.38;-0.00999999999999801;0;127;0;1;0;16;1;88.02;23.53;0;7;2025-05-24 16:00:00;24.05.2025;47.6;47.75;0;0;0;1;0;4.0;1;0
593;5/24/2025 17:00;37.06;23.57;47.56;0.17999999999999972;0;128;0;1;0;17;1;76.26;23.56;0;7;2025-05-24 17:00:00;24.05.2025;47.69;47.89;0;0;0;1;0;4.0;1;0
594;5/24/2025 18:00;10.98;23.99;48.07;0.509999999999998;0;129;0;1;0;18;1;58.59;23.64;0;7;2025-05-24 18:00:00;24.05.2025;47.68;47.78;0;0;0;1;0;4.0;1;0
595;5/24/2025 19:00;1.8;24.18;47.54;-0.5300000000000011;0;130;0;1;0;19;0;44.49;23.74;0;7;2025-05-24 19:00:00;24.05.2025;47.77;47.8;0;0;0;1;0;4.0;1;0
596;5/24/2025 20:00;1.38;24.25;47.8;0.259999999999998;0;131;0;1;0;20;0;31.93;23.83;0;7;2025-05-24 20:00:00;24.05.2025;47.46;47.73;0;0;0;1;0;4.0;1;0
597;5/24/2025 21:00;1.61;24.22;47.79;-0.00999999999999801;0;132;0;1;0;21;0;20.45;23.93;0;7;2025-05-24 21:00:00;24.05.2025;47.75;47.61;0;0;0;1;0;4.0;1;0
598;5/24/2025 22:00;1.76;24.22;47.6;-0.18999999999999773;0;133;0;1;0;22;0;9.1;24.07;0;7;2025-05-24 22:00:00;24.05.2025;47.75;47.41;0;0;0;1;0;4.0;1;0
