epoch,accuracy,loss,val_accuracy,val_loss
0,0.19242902100086212,1.6936012506484985,0.4177215099334717,1.1551759243011475
1,0.3817034661769867,1.2441240549087524,0.5189873576164246,1.0208823680877686
2,0.5015772581100464,1.023742914199829,0.49367088079452515,0.8750133514404297
3,0.4952681362628937,0.9248629212379456,0.5189873576164246,0.788619875907898
4,0.5804416537284851,0.7501701712608337,0.594936728477478,0.7265437841415405
5,0.5899053812026978,0.7499018311500549,0.5822784900665283,0.6733279228210449
6,0.624605655670166,0.6627200245857239,0.6202531456947327,0.6409817337989807
7,0.624605655670166,0.6457948684692383,0.6455696225166321,0.6039383411407471
8,0.6908517479896545,0.5491034388542175,0.6582278609275818,0.5732874870300293
9,0.687697172164917,0.5148426294326782,0.6708860993385315,0.5477942824363708
10,0.7287065982818604,0.5088249444961548,0.6708860993385315,0.5265457630157471
11,0.7350157499313354,0.42430007457733154,0.6962025165557861,0.5066362619400024
12,0.7034700512886047,0.4472627341747284,0.6835442781448364,0.48259860277175903
13,0.7287065982818604,0.4370047450065613,0.746835470199585,0.4595743417739868
14,0.7823343873023987,0.39089998602867126,0.7215189933776855,0.44187131524086
15,0.7634069323539734,0.39981210231781006,0.746835470199585,0.42852237820625305
16,0.7854889631271362,0.36264485120773315,0.7594936490058899,0.4330582320690155
17,0.7823343873023987,0.35201528668403625,0.7594936490058899,0.42544063925743103
18,0.8075709939002991,0.33904770016670227,0.7594936490058899,0.42395153641700745
19,0.8170347213745117,0.29899078607559204,0.7721518874168396,0.4183145761489868
20,0.801261842250824,0.32303643226623535,0.7594936490058899,0.40631750226020813
21,0.8075709939002991,0.3174375593662262,0.7721518874168396,0.40203186869621277
22,0.8233438730239868,0.2909141182899475,0.797468364238739,0.4000589847564697
23,0.8138801455497742,0.3262268900871277,0.7594936490058899,0.3994125723838806
24,0.8548895716667175,0.2567743957042694,0.7848101258277893,0.38173750042915344
25,0.8328076004981995,0.2710443139076233,0.797468364238739,0.375358909368515
26,0.8391166925430298,0.25552114844322205,0.8101266026496887,0.3674182891845703
27,0.8233438730239868,0.26963508129119873,0.8227847814559937,0.36579763889312744
28,0.8643532991409302,0.23060216009616852,0.8227847814559937,0.36951324343681335
29,0.8422712683677673,0.2373298555612564,0.8101266026496887,0.36134961247444153
30,0.8391166925430298,0.2653416395187378,0.797468364238739,0.35578569769859314
31,0.8769716024398804,0.21521379053592682,0.8101266026496887,0.3486335277557373
32,0.8580441474914551,0.23125296831130981,0.8227847814559937,0.3412174880504608
33,0.8769716024398804,0.2202271670103073,0.8227847814559937,0.34190595149993896
34,0.8580441474914551,0.2340756207704544,0.8227847814559937,0.3365693986415863
35,0.8706624507904053,0.2156340330839157,0.8354430198669434,0.3398456275463104
36,0.8706624507904053,0.205097958445549,0.8481012582778931,0.3438301682472229
37,0.8454258441925049,0.2108866274356842,0.8481012582778931,0.339973121881485
