loss,val_loss
0.5399461984634399,0.5262627601623535
0.3579222559928894,0.43903934955596924
0.30124613642692566,0.3800203502178192
0.2626281976699829,0.3357388377189636
0.2581161558628082,0.3050307035446167
0.23171170055866241,0.279481440782547
0.2166863977909088,0.25872230529785156
0.2105962038040161,0.24049381911754608
0.20754577219486237,0.22764956951141357
0.20004333555698395,0.21269941329956055
0.19737666845321655,0.20218662917613983
0.19019059836864471,0.19352193176746368
0.18160894513130188,0.1864427924156189
0.17681251466274261,0.17756465077400208
0.16240723431110382,0.17140021920204163
0.17390139400959015,0.164431631565094
0.1643872708082199,0.15590278804302216
0.1668083518743515,0.1477120965719223
0.16887958347797394,0.14691394567489624
0.16722312569618225,0.14559179544448853
0.15905363857746124,0.13820791244506836
0.15177811682224274,0.1376737803220749
0.15109001100063324,0.13290634751319885
0.16086159646511078,0.13114219903945923
0.14853230118751526,0.1299232393503189
0.15176063776016235,0.1260385513305664
0.14553074538707733,0.1258356273174286
0.14455567300319672,0.12026670575141907
0.15785406529903412,0.1205659732222557
0.1456567794084549,0.1227908506989479
0.1452757716178894,0.12166322022676468
0.14108657836914062,0.12142612785100937
0.13918288052082062,0.12080306559801102
